2026-06-13 16:30:50,733 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:30:52,934 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:30:57,746 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:31:11,434 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:31:33,623 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'foundation': '入门', 'learning_goal': '了解卷积神经网络'}
2026-06-13 16:31:33,651 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:31:34,358 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:31:34,369 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:31:34,406 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:31:34,421 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:31:34,436 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:31:41,305 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-13 16:31:41,333 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:31:41,487 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:31:41,501 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:31:41,536 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:31:41,552 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:31:41,566 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:32:10,364 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-13 16:32:10,393 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:32:10,542 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:32:10,557 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
